incident_id,title,service,severity,team,status,assigned_engineer,created_at,resolved_at,duration_minutes,sla_target_minutes,sla_status,affected_users,root_cause,resolution_summary
INC-1116,Minor styling asset 404 in admin dashboard,API Gateway,P3 - Medium,Payment & Billing,Resolved,Evan L.,2026-08-11 22:30:32,2026-08-12 01:26:32,176.0,480,Compliant,101,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1066,High replication lag on Postgres primary,Primary PostgreSQL DB,P3 - Medium,Payment & Billing,In Progress,Dana W.,2026-08-11 18:38:26,,,480,Breached,71,Long-running analytical unindexed query blocked write WAL threads.,Investigation ongoing.
INC-1031,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P3 - Medium,Data Engineering,In Progress,Farah H.,2026-08-11 05:26:35,,,480,Breached,135,JWKS signing certificate auto-rotation failed during midnight cron.,Investigation ongoing.
INC-1075,Minor styling asset 404 in admin dashboard,API Gateway,P4 - Low,Payment & Billing,Resolved,Carlos R.,2026-08-10 22:42:35,2026-08-11 11:27:35,765.0,1440,Compliant,99,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1079,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P2 - High,Platform Infra,Resolved,Evan L.,2026-08-10 20:57:39,2026-08-10 22:14:39,77.0,120,Compliant,778,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1040,Checkout cart session sync delay during flash sale,Checkout Pipeline,P2 - High,Payment & Billing,Resolved,Carlos R.,2026-08-10 17:51:56,2026-08-10 19:11:56,80.0,120,Compliant,4514,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1007,Scheduled data warehouse sync job failure,Primary PostgreSQL DB,P3 - Medium,Core Backend,Resolved,Dana W.,2026-08-10 17:48:30,2026-08-11 00:11:30,383.0,480,Compliant,116,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1006,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P3 - Medium,Security & IAM,In Progress,Bob K.,2026-08-09 16:49:25,,,480,Breached,97,Unbounded user session TTLs on marketing campaign referral links.,Investigation ongoing.
INC-1088,High replication lag on Postgres primary,Primary PostgreSQL DB,P1 - Critical,Platform Infra,Resolved,Carlos R.,2026-08-09 13:27:06,2026-08-09 13:35:06,8.0,30,Compliant,883,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1091,Minor styling asset 404 in admin dashboard,API Gateway,P1 - Critical,Payment & Billing,Resolved,Evan L.,2026-08-09 11:09:19,2026-08-09 11:22:19,13.0,30,Compliant,50,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1036,Stripe webhook 429 rate limit errors,Payment Gateway,P2 - High,Core Backend,Resolved,Dana W.,2026-08-09 02:23:29,2026-08-09 03:17:29,54.0,120,Compliant,4905,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1018,High replication lag on Postgres primary,Primary PostgreSQL DB,P2 - High,Platform Infra,Resolved,George T.,2026-08-08 19:13:12,2026-08-08 20:37:12,84.0,120,Compliant,4413,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1052,Minor styling asset 404 in admin dashboard,API Gateway,P2 - High,Security & IAM,In Progress,Dana W.,2026-08-08 15:41:45,,,120,Breached,1398,CDN cache invalidation hash discrepancy on static frontend build.,Investigation ongoing.
INC-1060,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P2 - High,Payment & Billing,Resolved,George T.,2026-08-08 14:47:05,2026-08-08 16:00:05,73.0,120,Compliant,4401,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1059,Minor styling asset 404 in admin dashboard,API Gateway,P3 - Medium,Data Engineering,Resolved,Carlos R.,2026-08-08 07:50:12,2026-08-08 13:39:12,349.0,480,Compliant,85,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1098,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Payment & Billing,In Progress,Farah H.,2026-08-07 20:19:02,,,480,Breached,45,Upstream catalog microservice thread pool exhaustion.,Investigation ongoing.
INC-1063,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P2 - High,Payment & Billing,Resolved,Carlos R.,2026-08-07 19:59:32,2026-08-07 21:44:32,105.0,120,Compliant,3453,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1065,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P2 - High,Data Engineering,Resolved,Bob K.,2026-08-07 13:40:09,2026-08-07 18:49:09,309.0,120,Breached,2459,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1008,Stripe webhook 429 rate limit errors,Payment Gateway,P4 - Low,Security & IAM,In Progress,Dana W.,2026-08-06 15:45:55,,,1440,Breached,47,Bulk recurring billing batch triggered webhook concurrency limit.,Investigation ongoing.
INC-1009,Minor styling asset 404 in admin dashboard,API Gateway,P2 - High,Payment & Billing,Resolved,Bob K.,2026-08-06 14:09:01,2026-08-06 15:49:01,100.0,120,Compliant,2003,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1011,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P2 - High,Payment & Billing,Resolved,Evan L.,2026-08-06 11:52:52,2026-08-06 17:05:52,313.0,120,Breached,3756,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1096,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P1 - Critical,Payment & Billing,Resolved,Alice M.,2026-08-06 10:49:38,2026-08-06 11:02:38,13.0,30,Compliant,3196,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1004,504 Gateway Timeout spike across REST endpoints,API Gateway,P2 - High,Security & IAM,Resolved,Evan L.,2026-08-06 09:07:05,2026-08-06 09:32:05,25.0,120,Compliant,1472,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1061,Checkout cart session sync delay during flash sale,Checkout Pipeline,P1 - Critical,Core Backend,Resolved,Alice M.,2026-08-06 00:52:56,2026-08-06 01:12:56,20.0,30,Compliant,2246,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1002,Email dispatch delay on order confirmation receipts,Notification & Email Worker,P1 - Critical,Platform Infra,Resolved,Bob K.,2026-08-05 23:07:34,2026-08-05 23:21:34,14.0,30,Compliant,2251,SendGrid API rate limiter throttling transactional batches.,Switched to multi-pool IP routing and flushed pending queue.
INC-1117,Minor styling asset 404 in admin dashboard,API Gateway,P3 - Medium,Security & IAM,Resolved,Alice M.,2026-08-05 22:40:53,2026-08-06 04:35:53,355.0,480,Compliant,114,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1017,Minor styling asset 404 in admin dashboard,API Gateway,P4 - Low,Payment & Billing,Resolved,Alice M.,2026-08-05 21:11:50,2026-08-06 00:54:50,223.0,1440,Compliant,106,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1001,504 Gateway Timeout spike across REST endpoints,API Gateway,P1 - Critical,Security & IAM,In Progress,Bob K.,2026-08-05 19:31:41,,,30,Breached,443,Upstream catalog microservice thread pool exhaustion.,Investigation ongoing.
INC-1022,Stripe webhook 429 rate limit errors,Payment Gateway,P2 - High,Payment & Billing,Resolved,Dana W.,2026-08-05 04:23:30,2026-08-05 05:05:30,42.0,120,Compliant,3922,Bulk recurring billing batch triggered webhook concurrency limit.,Enabled exponential backoff retry queue in SQS dead-letter worker.
INC-1069,High replication lag on Postgres primary,Primary PostgreSQL DB,P3 - Medium,Platform Infra,Resolved,George T.,2026-08-04 20:19:20,2026-08-05 06:30:20,611.0,480,Breached,0,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
INC-1013,Redis cluster memory usage exceeded 95%,Redis Cache Cluster,P4 - Low,Data Engineering,Open,Evan L.,2026-08-04 17:11:13,,,1440,Breached,138,Unbounded user session TTLs on marketing campaign referral links.,Investigation ongoing.
INC-1103,Scheduled data warehouse sync job failure,Primary PostgreSQL DB,P2 - High,Security & IAM,In Progress,George T.,2026-08-03 16:09:58,,,120,Breached,731,Upstream schema column rename in staging pipeline.,Investigation ongoing.
INC-1085,Checkout cart session sync delay during flash sale,Checkout Pipeline,P4 - Low,Platform Infra,Resolved,Farah H.,2026-08-03 13:59:21,2026-08-03 22:28:21,509.0,1440,Compliant,93,Distributed lock contention on inventory reservation table.,Optimized optimistic locking strategy and enabled Redis atomic counters.
INC-1095,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P4 - Low,Payment & Billing,Resolved,Alice M.,2026-08-03 13:37:57,2026-08-04 11:05:57,1288.0,1440,Compliant,120,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1114,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P3 - Medium,Payment & Billing,Resolved,Alice M.,2026-08-03 05:57:18,2026-08-03 09:44:18,227.0,480,Compliant,51,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1048,Okta SSO SAML assertion signature mismatch,Auth & SSO Service,P2 - High,Payment & Billing,Resolved,Farah H.,2026-08-03 04:33:38,2026-08-03 04:56:38,23.0,120,Compliant,4166,JWKS signing certificate auto-rotation failed during midnight cron.,Manually triggered JWKS cache refresh and reloaded cert authority.
INC-1058,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P3 - Medium,Payment & Billing,Resolved,Farah H.,2026-08-03 03:55:47,2026-08-03 10:46:47,411.0,480,Compliant,116,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1089,Scheduled data warehouse sync job failure,Primary PostgreSQL DB,P4 - Low,Payment & Billing,Resolved,Evan L.,2026-08-03 03:06:47,2026-08-05 14:33:47,3567.0,1440,Breached,135,Upstream schema column rename in staging pipeline.,Updated dbt model schema mapping.
INC-1107,504 Gateway Timeout spike across REST endpoints,API Gateway,P4 - Low,Security & IAM,Resolved,Evan L.,2026-08-02 23:31:43,2026-08-03 10:09:43,638.0,1440,Compliant,89,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1099,Minor styling asset 404 in admin dashboard,API Gateway,P1 - Critical,Core Backend,Resolved,Evan L.,2026-08-02 21:59:00,2026-08-02 22:13:00,14.0,30,Compliant,3713,CDN cache invalidation hash discrepancy on static frontend build.,Purged Cloudflare edge asset cache.
INC-1025,504 Gateway Timeout spike across REST endpoints,API Gateway,P3 - Medium,Core Backend,Resolved,Dana W.,2026-08-02 20:14:57,2026-08-03 00:00:57,226.0,480,Compliant,87,Upstream catalog microservice thread pool exhaustion.,Scaled Kubernetes replicas from 3 to 10 and enabled fallback caching.
INC-1033,Elasticsearch cluster yellow status due to unassigned shards,Search & Elastic Cluster,P2 - High,Core Backend,Resolved,Farah H.,2026-08-02 06:02:08,2026-08-02 06:34:08,32.0,120,Compliant,4650,Disk threshold exceeded on node search-03 triggering shard reroute lock.,Expanded EBS volume capacity and rebalanced indices.
INC-1014,High replication lag on Postgres primary,Primary PostgreSQL DB,P3 - Medium,Payment & Billing,Resolved,Alice M.,2026-08-02 03:04:27,2026-08-02 05:45:27,161.0,480,Compliant,85,Long-running analytical unindexed query blocked write WAL threads.,Terminated blocking PID and adjusted connection pool settings.
